Point: ,121-5242,,,,,,,
Location: ,"33.7308469, -84.39301208",,,,,,,
Road-Type: ,Minor Arterial,,,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed,Tue,Wed
9:00:00 (C),,5:464:68:5:14:5:0:1:2:0:0:0:0:0:0,3:441:57:5:14:5:0:4:6:2:0:0:0:0:0,,,,1:617:99:7:13:13:0:0:6:0:0:0:0:0:0,0:658:95:10:17:7:0:2:2:1:0:0:0:0:0
10:00:00 (C),,3:330:47:2:12:4:0:1:7:0:0:0:1:0:0,5:491:57:2:16:8:0:0:4:0:0:0:0:0:0,,,,2:297:57:6:21:4:0:1:8:0:0:0:0:0:0,3:424:67:3:24:6:0:3:3:1:0:0:0:0:0
11:00:00 (C),,1:327:60:2:18:7:0:3:6:1:0:0:0:0:0,0:263:61:3:12:5:0:2:2:0:0:0:0:0:0,,,,3:273:52:3:11:7:0:1:4:0:0:0:0:0:0,3:287:65:6:15:11:0:3:2:1:0:0:0:0:0
12:00:00 (C),,1:298:56:2:22:4:0:0:5:0:0:0:0:0:0,6:364:48:3:19:5:0:2:4:0:0:0:0:0:0,,,,1:435:66:5:13:4:0:2:6:0:0:0:0:0:0,4:489:70:5:19:6:0:2:2:0:0:0:0:0:0
13:00:00 (C),,2:341:54:6:17:11:0:0:3:0:0:0:1:0:0,4:387:56:8:19:9:0:4:7:0:0:0:0:0:0,,,,1:454:61:12:21:7:0:2:7:0:0:0:0:0:0,5:498:67:9:17:6:0:2:3:1:0:0:0:0:0
14:00:00 (C),,2:514:61:7:19:4:1:0:3:0:0:0:0:0:0,6:484:58:16:15:10:1:1:6:0:0:0:0:0:0,,,,2:426:80:4:25:8:0:0:5:0:0:0:0:0:0,10:440:57:5:21:7:0:2:6:0:0:0:0:0:0
15:00:00 (C),,1:505:44:6:19:11:1:2:1:0:0:0:0:0:0,1:634:71:1:25:4:0:3:5:1:0:0:0:0:0,,,,2:567:68:11:9:10:0:1:5:0:0:0:0:0:0,0:887:108:7:8:6:0:3:3:0:0:1:0:0:0
16:00:00 (C),,2:546:45:3:10:4:1:2:0:0:0:0:0:0:0,7:663:61:3:25:2:0:1:3:0:0:0:0:0:0,,,,2:777:95:16:15:6:0:3:5:0:0:0:0:0:0,3:1009:119:24:17:1:0:4:2:0:0:0:0:0:0
17:00:00 (C),,2:634:81:3:14:0:0:4:0:0:0:0:0:0:0,6:742:66:0:20:1:0:1:1:0:0:0:0:0:0,,,,4:913:97:14:7:3:0:4:0:0:0:0:0:0:0,2:1115:124:20:18:5:0:0:1:0:0:0:0:0:0
18:00:00 (C),,3:535:58:0:9:1:0:1:0:0:0:0:0:0:0,7:446:44:0:17:2:0:3:3:0:0:0:0:0:0,,,,6:574:52:5:12:1:0:4:0:0:0:0:0:0:0,4:592:43:7:14:3:0:1:1:0:0:0:0:0:0
19:00:00(C),,4:299:18:0:5:1:0:2:0:0:0:0:0:0:0,1:296:23:0:9:1:0:3:2:0:0:0:0:0:0,,,,4:338:28:6:5:2:0:0:0:0:0:0:0:0:0,5:382:26:3:4:1:0:0:0:0:0:0:0:0:0
20:00:00 (C),,5:282:10:0:8:1:0:1:0:0:0:0:0:0:0,9:250:22:1:8:2:0:1:1:0:0:0:0:0:0,,,,6:288:21:4:6:0:0:0:0:0:0:0:0:0:0,5:253:22:3:2:0:0:0:0:0:0:0:0:0:0
21:00:00 (C),,2:185:21:0:4:0:0:0:0:0:0:0:0:0:0,4:206:12:0:4:2:0:0:3:0:0:0:0:0:0,,,,4:228:16:3:0:0:0:0:0:0:0:0:0:0:0,5:321:27:3:1:0:0:0:0:0:0:0:0:0:0
22:00:00 (C),0:156:6:1:5:2:0:0:3:0:0:0:0:0:0,0:173:14:0:4:0:0:0:1:0:0:0:0:0:0,,,,,3:175:11:2:2:0:0:0:0:0:0:0:0:0:0,3:247:19:2:1:0:0:0:0:0:0:0:0:0:0
23:00:00 (C),0:115:5:0:2:2:0:0:3:0:0:0:0:0:0,3:120:12:0:1:0:0:0:0:0:0:0:0:0:0,,,,,2:132:6:4:1:0:0:0:0:0:0:0:0:0:0,1:155:10:4:1:0:0:0:1:0:0:0:0:0:0
