Point: ,121-5218,,,,,,
Location: ,"33.73293314, -84.41325645",,,,,,
Road-Type: ,Minor Arterial,,,,,,
6:00:00 (C),1:255:24:4:8:0:0:0:0:0:0:0:0:0:0,0:255:40:5:8:1:0:0:1:0:0:0:0:0:0,,4:241:36:1:6:0:0:0:1:0:0:0:0:0:0,3:241:36:1:5:2:0:1:0:0:0:0:0:0:0,0:275:20:1:4:0:0:1:1:0:0:0:0:0:0,0:294:36:1:22:0:0:1:2:0:0:0:0:0:0
7:00:00 (C),1:843:95:4:15:3:1:3:1:0:0:0:0:0:0,2:770:89:5:5:0:0:0:2:0:0:0:0:0:0,,3:640:107:2:17:1:1:2:2:0:0:0:0:0:0,3:584:86:6:11:1:0:0:1:0:0:0:0:0:0,0:555:58:1:13:1:0:1:1:0:0:0:0:0:0,0:616:67:1:26:1:0:0:1:0:0:0:0:0:0
8:00:00 (C),2:1061:108:8:17:3:0:2:0:0:0:0:0:0:0,2:1012:103:6:12:2:0:2:3:0:0:0:0:0:0,,2:817:94:5:13:4:1:1:1:0:0:0:0:0:0,1:740:98:1:20:0:0:2:1:0:0:0:0:0:0,1:677:58:3:12:2:0:1:0:0:0:0:0:0:0,3:808:104:1:23:2:0:2:0:0:0:0:0:0:0
9:00:00 (C),0:728:104:8:18:1:0:2:0:1:0:0:0:0:0,2:818:107:3:20:2:0:4:2:0:0:0:0:0:0,,0:510:75:5:21:0:0:2:1:0:0:0:0:0:0,2:427:66:7:11:3:0:1:1:0:0:0:0:0:0,3:421:49:7:10:0:0:0:1:0:0:0:0:0:0,1:459:65:2:21:4:0:0:3:0:0:0:0:0:0
10:00:00 (C),1:516:90:7:19:1:0:2:1:1:0:0:0:0:0,3:445:72:1:15:2:0:2:0:0:0:0:0:0:0,,2:409:88:2:13:2:0:1:1:0:0:0:0:0:0,6:450:104:0:22:2:0:1:2:0:0:0:0:0:0,2:337:39:2:14:1:0:0:3:0:0:0:0:0:0,2:333:51:4:15:1:0:0:4:0:0:0:0:0:0
11:00:00 (C),2:408:80:3:16:3:0:1:3:0:0:0:0:0:0,1:389:67:2:16:2:0:0:1:0:0:0:0:0:0,,1:361:89:4:17:1:0:1:1:0:0:0:0:0:0,1:419:71:4:22:3:0:2:3:0:0:0:0:0:0,3:358:57:3:12:5:0:1:1:0:0:0:0:0:0,6:334:56:3:11:2:0:1:2:0:0:0:0:0:0
12:00:00 (C),0:453:72:1:17:0:0:3:1:1:0:0:0:0:0,2:390:84:3:12:2:0:1:3:0:0:0:0:0:0,,1:371:79:2:23:1:0:1:1:0:0:0:0:0:0,7:466:87:3:11:3:0:3:5:0:0:0:0:0:0,2:353:51:2:7:0:0:2:2:0:0:0:0:0:0,2:387:68:2:16:1:0:0:4:0:0:0:0:0:0
13:00:00 (C),3:441:68:4:21:1:0:1:0:0:0:0:0:0:0,4:479:93:1:16:1:0:4:0:0:0:0:0:0:0,,4:452:78:1:9:0:0:2:1:0:0:0:0:0:0,2:493:109:3:10:2:0:3:1:0:0:0:0:0:0,4:400:57:0:10:2:0:3:1:0:0:0:0:0:0,3:440:53:1:23:0:1:1:0:0:0:0:0:0:0
14:00:00 (C),0:560:112:5:19:1:0:1:1:0:0:0:0:0:0,2:598:88:4:11:1:0:0:1:0:0:0:0:0:0,,7:529:79:2:15:2:0:1:0:0:0:0:0:0:0,5:492:97:5:15:2:0:1:0:0:0:0:0:0:0,1:471:73:3:10:0:0:1:1:0:0:0:0:0:0,2:509:62:6:13:2:0:2:0:0:0:0:0:0:0
15:00:00 (C),2:756:134:5:13:1:0:1:0:0:0:0:0:0:0,2:740:115:1:12:2:0:0:2:0:0:0:0:0:0,,4:639:113:8:13:3:0:2:0:0:0:0:0:0:0,4:727:130:4:18:3:0:2:2:0:0:0:0:0:0,1:639:65:0:8:1:0:1:0:0:0:0:0:0:0,1:671:79:3:17:1:0:2:1:0:0:0:0:0:0
16:00:00 (C),5:1046:162:5:18:4:1:0:2:0:0:0:0:0:0,5:1019:134:10:18:3:0:1:0:0:0:0:0:0:0,3:825:107:3:13:4:0:1:1:0:0:0:0:0:0,5:902:142:2:17:3:0:2:1:0:0:0:0:0:0,,1:792:93:1:8:1:0:1:0:0:0:0:0:0:0,8:784:78:3:19:3:0:2:0:0:0:0:0:0:0
17:00:00 (C),2:1202:164:5:19:1:0:2:0:0:0:0:0:0:0,5:1138:142:2:18:0:0:3:0:0:0:0:0:0:0,2:792:89:0:10:1:0:0:0:0:0:0:0:0:0,5:976:141:0:8:2:1:0:2:0:0:0:0:0:0,,0:765:102:1:10:1:0:1:1:0:0:0:0:0:0,2:767:66:3:12:1:0:0:1:0:0:0:0:0:0
18:00:00 (C),9:967:123:1:15:0:0:2:1:1:0:0:0:0:0,8:1000:127:2:13:0:0:1:1:0:0:0:0:0:0,7:631:68:1:5:0:0:2:0:0:0:0:0:0:0,9:766:112:0:10:0:0:1:1:0:0:0:0:0:0,,0:601:44:0:6:2:0:2:1:0:0:0:0:0:0,5:697:66:1:20:0:0:3:2:0:0:0:0:0:0
19:00:00(C),5:485:72:1:3:0:0:0:0:0:0:0:0:0:0,11:585:71:0:5:2:0:1:0:0:0:0:0:0:0,4:371:41:2:7:1:0:1:0:0:0:0:0:0:0,3:436:44:0:5:0:0:1:0:0:0:0:0:0:0,,0:327:44:1:3:1:0:0:0:0:0:0:0:0:0,2:377:38:1:12:0:0:1:1:0:0:0:0:0:0
20:00:00 (C),3:361:39:1:2:1:0:0:1:0:0:0:0:0:0,2:356:38:1:3:3:0:0:0:0:0:0:0:0:0,3:256:34:0:6:0:0:0:0:0:0:0:0:0:0,6:306:44:1:1:2:0:0:1:0:0:0:0:0:0,,0:281:25:0:0:0:0:1:0:0:0:0:0:0:0,3:234:10:0:1:0:0:0:0:1:0:0:0:0:0
21:00:00 (C),2:239:32:0:1:0:0:0:1:0:0:0:0:0:0,5:271:33:2:2:2:0:0:0:0:0:0:0:0:0,2:231:26:0:3:1:0:0:0:0:0:0:0:0:0,1:273:43:1:2:1:0:1:0:0:0:0:0:0:0,,9:228:15:0:2:0:0:0:0:0:0:0:0:0:0,5:213:11:0:2:0:0:0:0:0:0:0:0:0:0
22:00:00 (C),2:210:28:0:1:1:0:0:0:0:0:0:0:0:0,1:241:22:0:2:1:0:1:0:0:0:0:0:0:0,2:197:32:0:2:1:0:0:1:0:0:0:0:0:0,4:288:31:0:1:0:0:0:0:0:0:0:0:0:0,,0:176:20:0:2:0:0:0:0:0:0:0:0:0:0,2:171:11:0:2:1:0:2:0:0:0:0:0:0:0
23:00:00 (C),0:137:14:0:4:0:0:0:1:0:0:0:0:0:0,1:139:13:0:2:0:0:0:0:0:0:0:0:0:0,1:146:15:0:2:0:0:0:0:0:0:0:0:0:0,2:148:19:0:1:0:0:0:0:0:0:0:0:0:0,,3:134:25:0:2:0:0:0:0:0:0:0:0:0:0,1:145:12:0:0:0:0:0:0:0:0:0:0:0:0
